loading testing images...	
05_00001, 0/1(0.000) area: 26.268, gt: 5, answer: 33, prob: 0.6622	
17_00001, 1/2(0.500) area: 27.495, gt: 17, answer: 17, prob: 0.8745	
19_00001, 1/3(0.333) area: 29.933, gt: 19, answer: 18, prob: 0.3797	
24_00001, 1/4(0.250) area: 19.416, gt: 24, answer: 33, prob: 0.2958	
05_00002, 1/5(0.200) area: 25.100, gt: 5, answer: 13, prob: 0.5854	
17_00002, 2/6(0.333) area: 28.496, gt: 17, answer: 17, prob: 0.5835	
19_00002, 2/7(0.286) area: 28.496, gt: 19, answer: 18, prob: 0.3057	
05_00003, 2/8(0.250) area: 36.524, gt: 5, answer: 33, prob: 0.5725	
19_00003, 3/9(0.333) area: 43.267, gt: 19, answer: 19, prob: 0.7378	
24_00002, 3/10(0.300) area: 24.819, gt: 24, answer: 15, prob: 0.9957	
25_00001, 3/11(0.273) area: 28.249, gt: 25, answer: 2, prob: 0.3496	
22_00001, 3/12(0.250) area: 40.792, gt: 22, answer: 12, prob: 0.9994	
25_00002, 3/13(0.231) area: 25.807, gt: 25, answer: 12, prob: 0.8495	
09_00001, 3/14(0.214) area: 25.652, gt: 9, answer: 15, prob: 0.9997	
22_00002, 3/15(0.200) area: 41.110, gt: 22, answer: 12, prob: 0.9959	
25_00003, 3/16(0.188) area: 35.242, gt: 25, answer: 12, prob: 0.9415	
05_00004, 3/17(0.176) area: 29.445, gt: 5, answer: 33, prob: 0.6558	
17_00003, 3/18(0.167) area: 30.496, gt: 17, answer: 16, prob: 0.6905	
19_00004, 3/19(0.158) area: 32.939, gt: 19, answer: 18, prob: 0.3536	
24_00003, 3/20(0.150) area: 18.974, gt: 24, answer: 33, prob: 0.6090	
05_00005, 3/21(0.143) area: 27.713, gt: 5, answer: 33, prob: 0.7454	
17_00004, 4/22(0.182) area: 30.496, gt: 17, answer: 17, prob: 0.9557	
19_00005, 5/23(0.217) area: 30.984, gt: 19, answer: 19, prob: 0.4288	
24_00004, 5/24(0.208) area: 18.000, gt: 24, answer: 15, prob: 0.9856	
05_00006, 5/25(0.200) area: 38.575, gt: 5, answer: 33, prob: 0.6228	
19_00006, 6/26(0.231) area: 46.829, gt: 19, answer: 19, prob: 0.5988	
24_00005, 6/27(0.222) area: 24.819, gt: 24, answer: 15, prob: 0.9896	
25_00004, 6/28(0.214) area: 27.203, gt: 25, answer: 7, prob: 0.8691	
22_00003, 6/29(0.207) area: 36.661, gt: 22, answer: 12, prob: 0.7932	
25_00005, 6/30(0.200) area: 23.324, gt: 25, answer: 2, prob: 0.4981	
09_00002, 6/31(0.194) area: 23.917, gt: 9, answer: 15, prob: 0.9949	
22_00004, 6/32(0.188) area: 34.147, gt: 22, answer: 12, prob: 0.9969	
25_00006, 6/33(0.182) area: 30.708, gt: 25, answer: 2, prob: 0.6787	
22_00005, 6/34(0.176) area: 50.200, gt: 22, answer: 12, prob: 0.9960	
05_00007, 6/35(0.171) area: 25.981, gt: 5, answer: 33, prob: 0.8336	
17_00005, 7/36(0.194) area: 28.496, gt: 17, answer: 17, prob: 0.9324	
19_00007, 7/37(0.189) area: 28.983, gt: 19, answer: 18, prob: 0.3793	
24_00006, 7/38(0.184) area: 18.330, gt: 24, answer: 32, prob: 0.5435	
05_00008, 7/39(0.179) area: 26.833, gt: 5, answer: 33, prob: 0.6112	
17_00006, 8/40(0.200) area: 32.465, gt: 17, answer: 17, prob: 0.6234	
19_00008, 8/41(0.195) area: 31.984, gt: 19, answer: 17, prob: 0.5436	
24_00007, 8/42(0.190) area: 18.974, gt: 24, answer: 33, prob: 0.6125	
25_00007, 8/43(0.186) area: 30.757, gt: 25, answer: 12, prob: 0.7318	
22_00006, 8/44(0.182) area: 47.117, gt: 22, answer: 12, prob: 0.9984	
25_00008, 8/45(0.178) area: 29.698, gt: 25, answer: 12, prob: 0.6962	
22_00007, 8/46(0.174) area: 48.990, gt: 22, answer: 12, prob: 0.9964	
25_00009, 8/47(0.170) area: 34.598, gt: 25, answer: 12, prob: 0.6739	
05_00009, 8/48(0.167) area: 37.310, gt: 5, answer: 33, prob: 0.6387	
17_00007, 8/49(0.163) area: 37.789, gt: 17, answer: 18, prob: 0.6207	
24_00008, 8/50(0.160) area: 18.974, gt: 24, answer: 15, prob: 0.9992	
05_00010, 8/51(0.157) area: 28.000, gt: 5, answer: 33, prob: 0.7091	
17_00008, 8/52(0.154) area: 30.496, gt: 17, answer: 18, prob: 0.5874	
19_00009, 9/53(0.170) area: 30.984, gt: 19, answer: 19, prob: 0.3280	
24_00009, 9/54(0.167) area: 18.974, gt: 24, answer: 15, prob: 0.9774	
05_00011, 9/55(0.164) area: 29.732, gt: 5, answer: 33, prob: 0.7036	
17_00009, 10/56(0.179) area: 34.467, gt: 17, answer: 17, prob: 0.8032	
19_00010, 11/57(0.193) area: 33.985, gt: 19, answer: 19, prob: 0.6616	
24_00010, 11/58(0.190) area: 19.596, gt: 24, answer: 15, prob: 0.9678	
25_00010, 11/59(0.186) area: 31.081, gt: 25, answer: 7, prob: 0.3694	
09_00003, 11/60(0.183) area: 19.900, gt: 9, answer: 15, prob: 0.9245	
22_00008, 11/61(0.180) area: 42.988, gt: 22, answer: 12, prob: 0.9991	
25_00011, 11/62(0.177) area: 27.221, gt: 25, answer: 2, prob: 0.7217	
09_00004, 11/63(0.175) area: 32.588, gt: 9, answer: 15, prob: 0.9908	
22_00009, 11/64(0.172) area: 40.792, gt: 22, answer: 12, prob: 0.9930	
25_00012, 11/65(0.169) area: 39.115, gt: 25, answer: 12, prob: 0.6156	
22_00010, 11/66(0.167) area: 60.811, gt: 22, answer: 12, prob: 0.8308	
05_00012, 11/67(0.164) area: 37.947, gt: 5, answer: 33, prob: 0.5143	
17_00010, 12/68(0.176) area: 38.341, gt: 17, answer: 17, prob: 0.9079	
19_00011, 13/69(0.188) area: 42.708, gt: 19, answer: 19, prob: 0.5438	
24_00011, 13/70(0.186) area: 25.981, gt: 24, answer: 15, prob: 0.9169	
22_00011, 13/71(0.183) area: 28.983, gt: 22, answer: 17, prob: 0.9418	
05_00013, 14/72(0.194) area: 45.607, gt: 5, answer: 5, prob: 0.8165	
05_00014, 15/73(0.205) area: 39.154, gt: 5, answer: 5, prob: 0.9782	
05_00015, 16/74(0.216) area: 50.110, gt: 5, answer: 5, prob: 0.8521	
22_00012, 16/75(0.213) area: 21.166, gt: 22, answer: 12, prob: 0.8922	
22_00013, 16/76(0.211) area: 21.166, gt: 22, answer: 12, prob: 0.9169	
05_00016, 17/77(0.221) area: 50.200, gt: 5, answer: 5, prob: 0.6549	
19_00012, 17/78(0.218) area: 43.875, gt: 19, answer: 18, prob: 0.8045	
05_00017, 17/79(0.215) area: 41.952, gt: 5, answer: 33, prob: 0.7958	
19_00013, 17/80(0.212) area: 33.586, gt: 19, answer: 16, prob: 0.6602	
05_00018, 17/81(0.210) area: 43.955, gt: 5, answer: 33, prob: 0.6185	
19_00014, 17/82(0.207) area: 34.986, gt: 19, answer: 18, prob: 0.8318	
22_00014, 17/83(0.205) area: 21.817, gt: 22, answer: 12, prob: 0.9690	
22_00015, 17/84(0.202) area: 24.000, gt: 22, answer: 12, prob: 0.9326	
05_00019, 17/85(0.200) area: 49.940, gt: 5, answer: 33, prob: 0.8628	
17_00011, 17/86(0.198) area: 35.707, gt: 17, answer: 16, prob: 0.6702	
19_00015, 18/87(0.207) area: 51.381, gt: 19, answer: 19, prob: 0.8010	
24_00012, 18/88(0.205) area: 31.113, gt: 24, answer: 15, prob: 0.9984	
05_00020, 18/89(0.202) area: 39.154, gt: 5, answer: 33, prob: 0.8828	
17_00012, 18/90(0.200) area: 30.199, gt: 17, answer: 12, prob: 0.3230	
19_00016, 19/91(0.209) area: 43.955, gt: 19, answer: 19, prob: 0.3692	
24_00013, 19/92(0.207) area: 20.833, gt: 24, answer: 15, prob: 0.9995	
05_00021, 19/93(0.204) area: 49.071, gt: 5, answer: 33, prob: 0.8032	
17_00013, 20/94(0.213) area: 48.062, gt: 17, answer: 17, prob: 0.7957	
19_00017, 21/95(0.221) area: 58.966, gt: 19, answer: 19, prob: 0.8680	
24_00014, 21/96(0.219) area: 27.037, gt: 24, answer: 15, prob: 0.9999	
22_00016, 21/97(0.216) area: 32.496, gt: 22, answer: 12, prob: 0.8477	
22_00017, 21/98(0.214) area: 23.558, gt: 22, answer: 12, prob: 0.9772	
22_00018, 21/99(0.212) area: 27.166, gt: 22, answer: 12, prob: 0.8623	
05_00022, 21/100(0.210) area: 39.522, gt: 5, answer: 33, prob: 0.9749	
17_00014, 22/101(0.218) area: 40.890, gt: 17, answer: 17, prob: 0.4804	
19_00018, 22/102(0.216) area: 42.988, gt: 19, answer: 16, prob: 0.3940	
